Sarah,Jenkins,Sarah/"The Jenkins"/Jenkins
Mark,Taylor,Mark/"The Tinker"/Taylor
Lisa,Miller,Lisa/"The Thriller"/Miller
Kevin,Cart,Kevin "The Smart" Cart
John,Smith,John "The Myth" Smith
Amy,Lane,Amy "The Plane" Lane
Dave,Cook,Dave "The Book" Cook
Beth,Rose,Beth "The Prose" Rose
Paul,Knight,Paul "The Night" Knight
Sue,Bell,Sue "The Hell" Bell
Anita,Job,Anita/"The Handyman"/Job
Justin,Case,Justin "In Case" Case
Robin,Banks,Robin "The Robber" Banks
Paige,Turner,Paige "The Bookmark" Turner
Cliff,Hanger,Cliff "The Drop" Hanger
Biff,Wellington,Biff/"The Beef"/Wellington
Barry,Cade,Barry "The Block" Cade
Ray,Zin,Ray "The Craisin" Zin
Phil,Harmonic,Phil/"The Tune"/Harmonic
Barb,Wire,Barb "The Fence" Wire
Mona,Lott,Mona "The Groan" Lott
Gail,Force,Gail "The Gale" Force
Rusty,Pipes,Rusty "The Plumber" Pipes
Artie,Choke,Artie/"The Spinach"/Choke
Drew,Blood,Drew "The Needle" Blood
Doug,Grave,Doug "The Shovel" Grave
Ella,Vator,Ella/"The Elevator"/Vator
Penny,Wise,Penny/"The Pound"/Wise
Luke,Warm,Luke "The Chilly" Warm
Jack,Hammer,Jack/"The Drill"/Hammer
